Antecedente;Consequente;Suporte;Confiança
[16, 7, 11];[1, 6, 13];1;100.0%
[13, 7, 11];[1, 6, 16];1;100.0%
[6, 13, 16];[1, 7, 11];1;33.3%
[6, 16, 11];[1, 7, 13];1;100.0%
[6, 13, 11];[1, 7, 16];1;50.0%
[6, 16, 7];[1, 11, 13];1;100.0%
[6, 13, 7];[1, 11, 16];1;50.0%
[6, 7, 11];[1, 13, 16];1;100.0%
[13, 1, 16];[6, 7, 11];1;50.0%
[1, 16, 11];[6, 7, 13];1;100.0%
[13, 1, 11];[6, 7, 16];1;50.0%
[1, 16, 7];[6, 11, 13];1;100.0%
[13, 1, 7];[6, 11, 16];1;50.0%
[1, 7, 11];[6, 13, 16];1;100.0%
[6, 1, 16];[7, 11, 13];1;50.0%
[6, 13, 1];[7, 11, 16];1;25.0%
[6, 1, 11];[7, 13, 16];1;50.0%
[6, 1, 7];[11, 13, 16];1;33.3%
[13, 16];[1, 6, 7, 11];1;33.3%
[16, 11];[1, 6, 7, 13];1;100.0%
[13, 11];[1, 6, 7, 16];1;50.0%
[16, 7];[1, 6, 11, 13];1;100.0%
[13, 7];[1, 6, 11, 16];1;50.0%
[7, 11];[1, 6, 13, 16];1;100.0%
[6, 16];[1, 7, 11, 13];1;25.0%
[6, 13];[1, 7, 11, 16];1;14.3%
[6, 11];[1, 7, 13, 16];1;50.0%
[6, 7];[1, 11, 13, 16];1;33.3%
[1, 16];[6, 7, 11, 13];1;50.0%
[13, 1];[6, 7, 11, 16];1;25.0%
[1, 11];[6, 7, 13, 16];1;50.0%
[1, 7];[6, 11, 13, 16];1;33.3%
[6, 1];[7, 11, 13, 16];1;20.0%
[16];[1, 6, 7, 11, 13];1;20.0%
[13];[1, 6, 7, 11, 16];1;11.1%
[11];[1, 6, 7, 13, 16];1;33.3%
[7];[1, 6, 11, 13, 16];1;25.0%
[6];[1, 7, 11, 13, 16];1;11.1%
[1];[6, 7, 11, 13, 16];1;20.0%
[12, 6, 13, 18, 7];[1];1;100.0%
[12, 13, 1, 18, 7];[6];1;100.0%
[12, 6, 13, 1, 18];[7];1;100.0%
[6, 13, 1, 18, 7];[12];1;100.0%
[12, 6, 1, 18, 7];[13];1;50.0%
[12, 6, 13, 1, 7];[18];1;100.0%
[12, 13, 18, 7];[1, 6];1;100.0%
[12, 6, 13, 18];[1, 7];1;50.0%
[6, 13, 18, 7];[1, 12];1;100.0%
[12, 6, 18, 7];[1, 13];1;50.0%
[12, 6, 13, 7];[1, 18];1;100.0%
[12, 13, 1, 18];[6, 7];1;100.0%
[13, 1, 18, 7];[6, 12];1;100.0%
[12, 1, 18, 7];[6, 13];1;50.0%
[12, 13, 1, 7];[6, 18];1;100.0%
[6, 13, 1, 18];[7, 12];1;50.0%
[12, 6, 1, 18];[7, 13];1;50.0%
[12, 6, 13, 1];[7, 18];1;50.0%
[6, 1, 18, 7];[12, 13];1;50.0%
[6, 13, 1, 7];[12, 18];1;50.0%
[12, 6, 1, 7];[13, 18];1;50.0%
[12, 13, 18];[1, 6, 7];1;50.0%
[13, 18, 7];[1, 6, 12];1;100.0%
[12, 18, 7];[1, 6, 13];1;50.0%
[12, 13, 7];[1, 6, 18];1;100.0%
[6, 13, 18];[1, 7, 12];1;33.3%
[12, 6, 18];[1, 7, 13];1;33.3%
[12, 6, 13];[1, 7, 18];1;20.0%
[6, 18, 7];[1, 12, 13];1;50.0%
[6, 13, 7];[1, 12, 18];1;50.0%
[12, 6, 7];[1, 13, 18];1;50.0%
[13, 1, 18];[6, 7, 12];1;50.0%
[12, 1, 18];[6, 7, 13];1;50.0%
[12, 13, 1];[6, 7, 18];1;50.0%
[1, 18, 7];[6, 12, 13];1;50.0%
[13, 1, 7];[6, 12, 18];1;50.0%
[12, 1, 7];[6, 13, 18];1;50.0%
[6, 1, 18];[7, 12, 13];1;33.3%
[6, 13, 1];[7, 12, 18];1;25.0%
[12, 6, 1];[7, 13, 18];1;33.3%
[6, 1, 7];[12, 13, 18];1;33.3%
[13, 18];[1, 6, 7, 12];1;25.0%
[12, 18];[1, 6, 7, 13];1;33.3%
[12, 13];[1, 6, 7, 18];1;20.0%
