Antecedente;Consequente;Suporte;Confianca;Matriz Antecedentes;Matriz Consequentes;Pto Medio Anteced.;Pto Medio Conseq.;Suporte Anteced.;Suporte Conseq.;Dist. Anteced. -> Conseq.;Dist. Anteced. x Origem;Dist. Conseq. x Origem
[13, 2, 8, 17, 5];[10];1;100.0%;"[[0.   7.86 5.5  7.2  5.47]
 [7.86 0.   2.71 2.03 3.32]
 [5.5  2.71 0.   5.91 5.22]
 [7.2  2.03 5.91 0.   4.55]
 [5.47 3.32 5.22 4.55 0.  ]]";[[0.]];"[-0.646  0.186  0.306 -0.087 -0.176  0.066  0.069 -0.108  0.016  0.029
  0.054]";"[-0.563  0.5    0.597 -0.18   0.212  0.105  0.214  0.149  0.044 -0.114
 -0.116]";1;2;1.8697153651105687;[6.0777292];[4.91157985]
[2, 8, 17, 5, 10];[13];1;100.0%;"[[0.   2.71 2.03 3.32 4.35]
 [2.71 0.   5.91 5.22 3.68]
 [2.03 5.91 0.   4.55 6.65]
 [3.32 5.22 4.55 0.   1.25]
 [4.35 3.68 6.65 1.25 0.  ]]";[[0.]];"[-0.847  0.115  0.276 -0.005 -0.07   0.053  0.004 -0.005  0.046 -0.02
  0.023]";"[ 0.445  0.858  0.745 -0.59  -0.319  0.166  0.54  -0.365 -0.107  0.129
  0.039]";1;9;11.746769884351576;[8.77954291];[2.12558509]
[13, 2, 8, 5, 10];[17];1;50.0%;"[[0.   7.86 5.5  5.47 4.23]
 [7.86 0.   2.71 3.32 4.35]
 [5.5  2.71 0.   5.22 3.68]
 [5.47 3.32 5.22 0.   1.25]
 [4.23 4.35 3.68 1.25 0.  ]]";[[0.]];"[-0.607  0.358  0.398 -0.245  0.04   0.074  0.069 -0.073 -0.045  0.017
  0.028]";"[-0.755 -0.357  0.137  0.614 -0.871  0.064  0.214 -0.027  0.347 -0.055
  0.016]";2;5;4.8112180081502665;[3.61503023];[3.08576537]
[13, 8, 17, 10];[2, 5];1;100.0%;"[[0.   5.5  7.2  4.23]
 [5.5  0.   5.91 3.68]
 [7.2  5.91 0.   6.65]
 [4.23 3.68 6.65 0.  ]]";"[[0.   3.32]
 [3.32 0.  ]]";"[-0.451  0.307  0.346 -0.264 -0.221  0.019  0.211 -0.103  0.074 -0.075
  0.02 ]";"[-0.994  0.102  0.37   0.221  0.106  0.178 -0.141  0.009 -0.086  0.165
  0.039]";1;3;3.117042606888967;[5.26114151];[4.34121796]
[13, 17, 5, 10];[2, 8];1;100.0%;"[[0.   7.2  5.47 4.23]
 [7.2  0.   4.55 6.65]
 [5.47 4.55 0.   1.25]
 [4.23 6.65 1.25 0.  ]]";"[[0.   2.71]
 [2.71 0.  ]]";"[-0.396  0.359  0.562  0.017 -0.229  0.151  0.171 -0.03   0.068  0.03
  0.004]";"[-1.103 -0.002 -0.061 -0.341  0.122 -0.087 -0.061 -0.136 -0.074 -0.045
  0.069]";1;4;5.705163259946675;[6.24577488];[3.67016948]
[13, 8, 17, 5];[2, 10];1;100.0%;"[[0.   5.5  7.2  5.47]
 [5.5  0.   5.91 5.22]
 [7.2  5.91 0.   4.55]
 [5.47 5.22 4.55 0.  ]]";"[[0.   4.35]
 [4.35 0.  ]]";"[-0.488  0.291  0.389 -0.163 -0.258  0.061  0.085 -0.11   0.06  -0.006
  0.068]";"[-0.919  0.134  0.284  0.019  0.18   0.095  0.11   0.023 -0.058  0.028
 -0.058]";1;2;2.1146876100959178;[5.4322652];[5.25622539]
[8, 17, 5, 10];[2, 13];1;100.0%;"[[0.   5.91 5.22 3.68]
 [5.91 0.   4.55 6.65]
 [5.22 4.55 0.   1.25]
 [3.68 6.65 1.25 0.  ]]";"[[0.   7.86]
 [7.86 0.  ]]";"[-0.74   0.201  0.352 -0.06  -0.125  0.045  0.004  0.019  0.097 -0.067
  0.03 ]";"[-0.416  0.313  0.359 -0.186 -0.085  0.125  0.273 -0.234 -0.133  0.149
  0.019]";1;2;2.7773260495789636;[7.68384401];[2.46745427]
[13, 8, 5, 10];[2, 17];1;50.0%;"[[0.   5.5  5.47 4.23]
 [5.5  0.   5.22 3.68]
 [5.47 5.22 0.   1.25]
 [4.23 3.68 1.25 0.  ]]";"[[0.   2.03]
 [2.03 0.  ]]";"[-0.44   0.505  0.504 -0.361  0.013  0.071  0.085 -0.065 -0.016 -0.021
  0.035]";"[-1.016 -0.294  0.054  0.416 -0.361  0.075  0.11  -0.065  0.094  0.057
  0.007]";2;4;5.712225054152777;[3.94004485];[3.62715415]
[13, 2, 17, 10];[5, 8];1;100.0%;"[[0.   7.86 7.2  4.23]
 [7.86 0.   2.03 4.35]
 [7.2  2.03 0.   6.65]
 [4.23 4.35 6.65 0.  ]]";"[[0.   5.22]
 [5.22 0.  ]]";"[-0.537  0.192  0.363  0.015 -0.208  0.105  0.243 -0.087  0.031  0.032
 -0.016]";"[-0.821  0.331  0.337 -0.338  0.08   0.006 -0.207 -0.023 -0.001 -0.049
  0.109]";1;2;1.8041119242095354;[5.25698547];[5.3233326]
[13, 2, 8, 17];[5, 10];1;100.0%;"[[0.   7.86 5.5  7.2 ]
 [7.86 0.   2.71 2.03]
 [5.5  2.71 0.   5.91]
 [7.2  2.03 5.91 0.  ]]";"[[0.   1.25]
 [1.25 0.  ]]";"[-0.629  0.124  0.19  -0.164 -0.237  0.014  0.158 -0.166  0.023 -0.004
  0.048]";"[-0.637  0.467  0.683  0.022  0.138  0.188 -0.036  0.136  0.015  0.023
 -0.019]";1;2;2.8169080570065588;[5.56296405];[5.48199277]
