Antecedente;Consequente;Dist. Anteced. x Origem;Dist. Conseq. x Origem;Dist. Anteced. -> Conseq.;Dist. Anteced. - Conseq.;Suporte Ant.;Suporte Cons.;Suporte;Confianca;Lift;all-confianca
[12, 6, 1, 16];[9, 13];7.414458971752772;12.118824991364672;7.366042909512643;-4.7043660196119;0.066667;0.266667;0.066667;1.0;0.266667;0.1000005
[12, 6, 13, 1];[9, 16];3.665766096482839;6.037695470064958;5.100950501528835;-2.3719293735821187;0.133333;0.2;0.066667;0.5;0.10000075000187501;0.1000005
[6, 9, 1, 16];[12, 13];7.5212337446171285;6.141424014361085;4.755267412174278;1.379809730256043;0.066667;0.333333;0.066667;1.0;0.333333;0.1000005
[6, 13, 9, 1];[12, 16];8.394156415655148;9.921517142313602;8.22678261976122;-1.5273607266584541;0.066667;0.266667;0.066667;1.0;0.266667;0.1000005
[12, 6, 9, 1];[13, 16];7.887868637927219;8.439697017544534;6.631362558982152;-0.5518283796173149;0.066667;0.2;0.066667;1.0;0.2;0.1000005
[12, 13, 16];[1, 6, 9];2.587644522968846;4.43446110071833;4.388569277539582;-1.8468165777494843;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.1000005
[13, 9, 16];[1, 6, 12];4.142788752052025;4.56637241817226;4.483820757071803;-0.42358366612023524;0.133333;0.2;0.066667;0.5;0.10000075000187501;0.1000005
[12, 9, 16];[1, 6, 13];3.596650164097663;3.9595324507676453;6.170463374819484;-0.36288228666998235;0.2;0.266667;0.066667;0.3333333333333333;0.088889444445;0.1000005
[12, 13, 9];[1, 6, 16];2.170457768745688;2.474663979691819;5.18966949498108;-0.304206210946131;0.266667;0.133333;0.066667;0.25;0.03333337499953126;0.1000005
[6, 13, 16];[1, 9, 12];3.0942923656840975;2.170420726159085;4.844926926231956;0.9238716395250126;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[12, 6, 16];[1, 9, 13];3.0361305473391265;2.1927527897100503;4.791702162981455;0.8433777576290762;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[12, 6, 13];[1, 9, 16];1.6343057911708108;1.1539145571632567;2.887592882137099;0.480391234007554;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.1000005
[6, 9, 16];[1, 12, 13];3.516548249843437;1.7243509231830476;2.707653415443543;1.7921973266603892;0.2;0.133333;0.066667;0.3333333333333333;0.044444555555;0.1000005
[6, 13, 9];[1, 12, 16];2.8280384781619903;1.5159369994949532;5.559859759271276;1.312101478667037;0.266667;0.066667;0.066667;0.25;0.016666812500234378;0.1000005
[12, 6, 9];[1, 13, 16];2.4218491857147315;1.4204620184300178;4.446191053066282;1.0013871672847137;0.333333;0.133333;0.066667;0.2;0.026666759999760006;0.1000005
[13, 1, 16];[6, 9, 12];3.55116037282093;6.054632046243979;4.446191053066281;-2.503471673423049;0.133333;0.333333;0.066667;0.5;0.166667750001875;0.1000005
[12, 1, 16];[6, 9, 13];6.063725259038513;11.312111492282892;5.559859759271276;-5.2483862332443785;0.066667;0.266667;0.066667;1.0;0.266667;0.1000005
[12, 13, 1];[6, 9, 16];2.586532851106698;5.274835561854059;2.707653415443543;-2.6883027107473607;0.133333;0.2;0.066667;0.5;0.10000075000187501;0.1000005
[9, 1, 16];[6, 12, 13];5.7695381685526534;8.171479926925464;2.887592882137099;-2.4019417583728107;0.066667;0.333333;0.066667;1.0;0.333333;0.1000005
[13, 9, 1];[6, 12, 16];6.57822547800276;9.108346100286882;4.791702162981455;-2.530120622284122;0.066667;0.2;0.066667;1.0;0.2;0.1000005
[12, 9, 1];[6, 13, 16];6.511229622329143;9.282830682898878;4.844926926231956;-2.7716010605697345;0.066667;0.2;0.066667;1.0;0.2;0.1000005
[6, 1, 16];[9, 12, 13];4.949346519409884;4.3409318159653365;5.18966949498108;0.6084147034445477;0.133333;0.266667;0.066667;0.5;0.13333450000375;0.1000005
[6, 13, 1];[9, 12, 16];2.9696456260187016;2.697484251217932;6.170463374819484;0.27216137480076963;0.266667;0.2;0.066667;0.25;0.05000018749976564;0.1000005
[12, 6, 1];[9, 13, 16];3.0442406681608114;2.7618522633867633;4.483820757071804;0.28238840477404814;0.2;0.133333;0.066667;0.3333333333333333;0.044444555555;0.1000005
[6, 9, 1];[12, 13, 16];8.868855684852736;5.175250231463918;4.388569277539584;3.693605453388818;0.066667;0.133333;0.066667;1.0;0.133333;0.1000005
[13, 16];[1, 6, 9, 12];2.8132464053432074;2.62930269242347;6.631362558982152;0.1839437129197372;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[12, 16];[1, 6, 9, 13];2.4803885869890956;2.0985469734255897;8.226782619761217;0.3818416135635059;0.266667;0.066667;0.066667;0.25;0.016666812500234378;0.1000005
[12, 13];[1, 6, 9, 16];1.2282921725884044;1.5042557744129446;4.755267412174276;-0.27596360182454016;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.1000005
[9, 16];[1, 6, 12, 13];4.025120250550856;2.4438379547117326;5.1009505015288354;1.5812822958391233;0.2;0.133333;0.066667;0.3333333333333333;0.044444555555;0.1000005
[13, 9];[1, 6, 12, 16];3.029717609225397;1.8536216939847894;7.366042909512641;1.1760959152406076;0.266667;0.066667;0.066667;0.25;0.016666812500234378;0.1000005
[12, 9];[1, 6, 13, 16];2.6311172279640798;1.4112139858867878;6.224833369252283;1.219903242077292;0.4;0.133333;0.066667;0.16666666666666666;0.0222222777775;0.1000005
[6, 16];[1, 9, 12, 13];2.8917619476998695;1.2922172381958765;2.5989088303571437;1.599544709503993;0.266667;0.066667;0.066667;0.25;0.016666812500234378;0.1000005
[6, 13];[1, 9, 12, 16];2.035123107045894;0.8443820831777629;4.88410714647106;1.190741023868131;0.466667;0.066667;0.066667;0.14285714285714285;0.009523897959358601;0.1000005
[12, 6];[1, 9, 13, 16];1.698029016208491;0.7795133217077814;3.3037485746995343;0.9185156945007096;0.466667;0.066667;0.066667;0.14285714285714285;0.009523897959358601;0.1000005
[6, 9];[1, 12, 13, 16];2.8216689064719773;0.8821996485763378;2.237914958848937;1.9394692578956394;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.1000005
[1, 16];[6, 9, 12, 13];4.5197581298281815;4.456218765531479;5.086106224547355;0.0635393642967026;0.133333;0.266667;0.066667;0.5;0.13333450000375;0.1000005
[13, 1];[6, 9, 12, 16];2.955541667508082;2.420044016980238;5.67037692367032;0.5354976505278439;0.266667;0.2;0.066667;0.25;0.05000018749976564;0.1000005
[12, 1];[6, 9, 13, 16];2.506127240947593;2.9133572208719847;4.506131604137575;-0.40722997992439147;0.2;0.133333;0.066667;0.3333333333333333;0.044444555555;0.1000005
[9, 1];[6, 12, 13, 16];5.83572760951352;6.7182488149587325;1.6357184120682802;-0.8825212054452125;0.066667;0.133333;0.066667;1.0;0.133333;0.1000005
[6, 1];[9, 12, 13, 16];3.00185306340106;1.3952197874888377;4.7228516214860585;1.6066332759122224;0.333333;0.133333;0.066667;0.2;0.026666759999760006;0.1000005
[16];[1, 6, 9, 12, 13];3.0214205694875305;1.3514649674905392;6.888124823299004;1.6699556019969912;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.1000005
